Multi-seed training for: bitshift-custom_slow_decay-64-4-64
  device       : cpu
  num_seeds    : 1
  base_seed    : 48
  num_episodes : 2500
  output_dir   : metrics/multi-seed/_workers/bitshift-custom_slow_decay-64-4-64/seed48

============================================================
Seed 48 (1/1)
============================================================
  Episode 50/2500  avg(100): 19.8
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
  Episode 100/2500  avg(100): 17.6
  Episode 150/2500  avg(100): 14.1
  Episode 200/2500  avg(100): 13.2
  Episode 250/2500  avg(100): 15.5
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
  Episode 300/2500  avg(100): 18.3
  Episode 350/2500  avg(100): 16.0
  Episode 400/2500  avg(100): 18.7
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
Model saved to models/bitshift-custom_slow_decay-64-4-64-seed48-best.pth
